,Course_Group,Mode_Group,pre_q_group,ord_group,Mq_Group,Fq_Group,Mo_Group,Fo_Group,Previous qualification (grade),Admission grade,Displaced,Debtor,Gender,Scholarship holder,Age at enrollment,Marital status,Daytime/evening attendance	,Tuition fees up to date,Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),notpass_1,notpass_2,Target
139,High,Mid,1,0.0,Mid,Mid,Mid2,Mid2,178.0,174.7,0,0,0,0,18,1,1,1,7,17.125,8,17.5875,0,0,Graduate
140,High,High,1,0.0,Mid,Mid,Mid2,Mid2,129.0,128.8,1,0,0,0,19,1,1,1,6,12.666666666666666,6,12.666666666666666,1,1,Graduate
141,Mid2,High,1,0.0,Mid,Mid,Mid2,Mid1,116.0,110.1,1,0,0,1,19,1,1,1,6,12.666666666666666,5,12.0,0,1,Graduate
143,High,High,1,0.0,Mid,Mid,Mid2,Mid2,135.0,121.0,1,0,0,1,19,1,1,1,6,11.333333333333334,6,11.5,0,0,Graduate
144,High,High,1,0.0,Mid,Mid,Mid2,Mid2,141.0,131.7,1,0,0,1,19,1,1,1,7,13.605,8,12.33125,0,0,Graduate
145,Low,Mid,1,0.0,Mid,High,Mid2,Mid2,132.0,119.1,1,0,0,1,19,1,1,1,5,12.0,5,10.8,1,1,Graduate
146,Mid1,High,1,0.0,Low,Mid,Mid2,Mid2,132.0,124.7,1,0,0,0,19,1,1,1,0,0.0,0,0.0,5,5,Dropout
147,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,113.0,117.2,1,0,0,0,20,1,1,1,5,11.2,3,11.666666666666666,1,3,Dropout
148,Mid1,High,1,0.0,Mid,Mid,Mid1,Mid2,134.0,128.8,0,0,0,0,18,1,1,1,5,13.375,5,14.166666666666666,0,0,Graduate
149,High,High,1,0.0,Mid,Mid,Mid2,Mid2,136.0,131.5,0,0,0,1,20,1,1,1,6,13.863333333333337,7,14.178571428571429,1,1,Graduate
151,Mid2,High,1,0.0,Mid,High,Mid2,Mid2,129.0,123.4,0,0,0,0,19,1,1,1,5,12.4,5,13.4,0,0,Graduate
153,Low,High,1,0.0,Mid,Mid,Mid2,Mid2,137.0,132.8,1,0,0,0,18,1,1,1,6,13.333333333333334,5,11.8,0,1,Graduate
154,Low,Mid,1,0.0,Mid,Mid,Mid1,Mid2,115.0,108.7,1,0,0,0,21,1,1,1,3,12.666666666666666,3,10.0,3,3,Dropout
155,Low,High,1,0.0,High,Mid,Mid2,Mid2,129.0,138.1,0,0,0,0,19,1,1,1,6,12.0,4,11.5,0,2,Dropout
156,Mid1,High,1,0.0,High,High,Mid2,Mid2,131.0,126.5,0,0,0,1,18,1,1,1,5,10.6,5,11.8,0,0,Graduate
157,High,Mid,1,0.0,Mid,Mid,Mid2,Mid2,133.0,127.4,1,0,0,1,18,1,1,1,6,12.25,6,11.857142857142858,0,0,Graduate
158,High,High,1,0.0,Mid,Mid,Mid2,Mid2,125.0,123.6,1,0,0,0,20,1,1,1,4,11.0,6,11.833333333333334,2,0,Graduate
159,Mid2,Low,1,0.0,Mid,Mid,Mid2,Mid2,120.0,122.0,0,0,0,1,24,1,0,1,5,11.0,5,12.6,1,1,Graduate
160,Mid1,High,1,0.0,Mid,Mid,Mid2,Mid1,128.0,118.2,0,0,0,0,19,1,1,1,6,13.166666666666666,6,13.0,0,0,Dropout
161,High,High,1,0.0,Mid,Mid,Mid2,Mid2,127.0,123.9,1,0,0,1,18,1,1,1,7,12.855555555555554,7,12.761111111111113,0,1,Graduate
162,High,High,1,0.0,Mid,Mid,Mid2,Mid2,134.0,125.8,1,0,0,0,18,1,1,1,7,14.91875,8,15.355,0,0,Graduate
163,Low,Mid,1,0.0,Low,Mid,Mid2,Mid1,132.0,123.3,1,0,0,0,21,1,1,1,4,11.5,3,11.0,2,3,Dropout
164,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid1,124.0,124.4,0,0,0,0,19,1,1,1,5,14.2,5,14.2,0,0,Graduate
165,Mid2,Mid,1,0.0,Mid,Mid,Mid2,Mid2,133.1,126.0,0,0,0,1,19,1,1,1,6,12.5,6,13.0,0,0,Graduate
167,High,Mid,1,0.0,Mid,Mid,Mid2,Mid2,125.0,121.5,0,0,0,0,19,1,1,1,5,11.666666666666666,4,11.0,1,2,Graduate
168,High,Low,0,1.0,Mid,Mid,Mid1,Mid1,130.0,130.0,0,0,0,0,29,1,1,1,7,14.257142857142856,7,14.257142857142856,1,1,Graduate
169,High,Mid,1,0.0,Mid,Mid,Mid2,Mid2,125.0,117.0,1,0,0,0,21,1,1,1,3,12.0,2,11.333333333333334,3,4,Dropout
171,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,133.1,108.0,0,0,0,0,20,1,1,1,7,12.457142857142856,8,13.5625,0,0,Graduate
172,High,Mid,1,0.0,Mid,High,Mid2,Mid2,131.0,132.3,1,0,0,0,19,1,1,1,6,11.683333333333332,6,11.683333333333332,1,1,Graduate
173,Mid2,Mid,1,0.0,Mid,Mid,Mid2,Mid2,150.0,148.0,0,0,0,0,26,1,0,1,3,11.666666666666666,5,12.0,3,1,Graduate
174,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,125.0,122.6,1,1,0,0,20,1,1,0,4,11.75,6,13.166666666666666,2,0,Dropout
176,Low,Low,1,0.0,Mid,Mid,Mid2,Mid2,130.0,102.5,0,0,0,0,27,1,1,1,5,13.2,5,12.0,1,1,Graduate
177,High,High,1,0.0,Low,Low,Low,Low,123.0,113.3,1,0,0,0,20,1,1,1,4,11.95,4,11.95,3,3,Dropout
178,Low,High,1,0.0,Mid,Mid,Mid2,Mid2,141.0,133.0,1,0,0,0,18,1,1,1,5,12.4,5,10.4,1,1,Dropout
179,High,Low,0,1.0,Mid,Mid,Mid2,Mid2,140.0,140.0,0,0,0,0,33,1,1,1,6,14.35,6,14.583333333333334,1,2,Dropout
180,Low,Mid,1,0.0,Mid,Mid,Mid2,Mid2,140.0,128.3,1,0,0,0,35,1,1,1,21,12.61904761904762,19,12.789473684210526,0,0,Graduate
182,Mid2,Low,0,,Mid,Mid,Mid2,Mid1,133.1,104.0,0,1,0,0,27,1,1,0,5,12.0,0,0.0,1,6,Dropout
183,Mid2,Mid,1,0.0,Mid,Mid,Mid2,Mid2,131.0,122.3,1,0,0,0,19,1,1,0,6,12.166666666666666,0,0.0,0,6,Dropout
184,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,143.0,135.0,0,0,0,0,20,1,1,1,0,0.0,0,0.0,6,6,Dropout
185,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,132.0,119.1,1,1,0,0,20,1,1,0,3,10.0,3,10.571428571428571,2,2,Dropout
187,High,Mid,1,0.0,High,Mid,Mid2,Mid1,141.0,129.0,1,0,0,1,18,1,1,1,6,13.05,6,13.05,1,1,Graduate
188,Mid2,Low,1,0.0,Mid,Mid,Mid2,Mid2,133.1,162.3,1,0,0,0,24,1,1,1,2,11.0,0,0.0,4,6,Dropout
189,Mid2,Mid,1,0.0,Mid,Mid,Mid2,Mid1,148.0,163.4,1,0,0,0,20,1,1,1,6,11.5,6,12.0,0,0,Graduate
190,Mid1,High,1,0.0,Mid,High,Mid2,Mid2,125.0,121.5,0,0,0,1,21,1,1,1,6,12.0,6,12.5,0,0,Graduate
192,Mid1,Low,1,0.0,Low,Mid,Mid2,Mid2,140.0,118.0,1,0,0,0,24,1,1,1,0,0.0,0,0.0,5,5,Dropout
193,Low,Mid,1,0.0,Mid,Mid,Mid2,Mid2,139.0,134.0,0,0,0,0,21,1,1,1,0,0.0,0,0.0,6,6,Dropout
194,High,High,1,0.0,High,High,Mid2,Mid2,142.0,129.8,1,0,0,0,18,1,1,1,7,12.242857142857144,7,12.242857142857144,1,1,Graduate
195,Low,Low,1,,Mid,Mid,Mid2,Mid1,130.0,152.0,1,0,0,0,27,1,0,1,0,0.0,0,0.0,5,5,Dropout
196,High,Mid,1,0.0,Mid,Mid,Mid2,Mid2,126.0,122.8,1,0,0,0,18,1,1,1,8,12.93375,8,12.93375,0,0,Graduate
197,Low,Low,0,1.0,Mid,Mid,Mid1,Mid1,150.0,150.0,0,0,0,0,35,1,1,1,0,0.0,0,0.0,5,5,Dropout
198,Low,High,1,0.0,Mid,Mid,Mid2,Mid2,130.0,131.8,0,0,0,0,18,1,1,1,7,12.571428571428571,7,14.428571428571429,0,0,Graduate
200,Mid2,High,1,0.0,Mid,Mid,Mid2,Mid2,138.0,132.1,1,0,0,0,19,1,1,1,4,13.75,4,14.333333333333334,1,1,Graduate
201,High,High,1,0.0,Mid,Mid,Mid2,Low,127.0,127.4,1,0,0,0,20,1,1,1,6,11.166666666666666,6,11.333333333333334,0,0,Graduate
202,High,High,1,0.0,Mid,Mid,Mid2,Mid2,140.0,129.5,1,0,0,0,18,1,1,1,7,12.324285714285711,7,12.324285714285711,1,1,Graduate
203,High,Mid,1,,High,High,Mid2,Mid2,130.0,126.7,0,1,0,0,21,1,1,1,6,12.166666666666666,6,11.714285714285714,0,0,Graduate
204,High,Mid,1,0.0,Mid,Mid,Mid2,Mid2,128.0,116.5,0,0,0,1,18,1,1,1,5,11.142857142857142,4,11.25,1,2,Graduate
205,High,High,1,0.0,Low,Low,Low,Low,132.0,119.1,1,0,0,0,18,1,1,1,4,11.0,4,10.75,2,2,Graduate
206,High,High,1,0.0,Mid,High,Mid2,Mid2,149.0,126.5,1,0,0,0,18,1,1,1,7,12.914285714285713,7,12.914285714285713,1,1,Graduate
207,Mid2,High,1,0.0,Mid,Mid,Mid1,Mid1,155.0,149.8,1,0,0,1,18,1,1,1,6,13.833333333333334,6,14.166666666666666,0,0,Graduate
208,Mid2,High,1,0.0,Mid,Mid,Mid1,Mid2,120.0,115.1,1,0,0,0,19,1,1,1,6,13.857142857142858,5,13.4,0,1,Graduate
209,Mid1,Low,0,,Mid,Mid,Mid1,Mid2,133.1,124.5,0,0,0,1,36,1,1,1,6,13.714285714285714,5,12.8,0,1,Dropout
